Year,Category,Name,Advisor,Title
2015,African Art (sub-Saharan),Nora Burnett Abrams,Linda Nochlin,Para-realism and the Early Sculpture of Rachel Whiteread
2015,Architectural History/Historic Preservation,Birgitta Augustin,Jonathan Hay,"Painting Authenticity: Intersections in the Lives and Art of Zhang Yu, Huang Gongwang and Ni Zan"
2015,Art of the Middle East/North Africa,William Bracken,Eric Jan Sluiter and Mariet Westermann,Rembrandt as Creative Inventor
2015,Art of the United States,John Byck,Colin T. Eisler,Master W with the Key: New Perspectives on the Engraver and his Art
2015,Chinese Art,Carolina Carrasco,Robert Storr,The Lives of Working Objects: Functionalism and the Institution in the Archival ¡°Readymades¡± of George Maciunas
2015,Contemporary Art,Michael Chagnon,Priscilla Soucek,"The Illustrated Manuscript Tradition in Iran, 1040s/1630s-1070s/1660s: Patronage, Production, and Poetics in the Age of the ""Fresh Style.¡±"
2015,Critical Theory/Gender Studies/Visual Studies,Elizabeth Dospel Williams,Thelma Thomas,Worldly Adornments: Women's Precious Metal Jewelry in the Early Medieval Eastern Mediterranean (9500-1100 CE)
2015,Decorative Arts/Textiles/Design History,"Galia Halpern,",Colin T. Eisler,Open Geography and the Illuminated Mandeville's Travels
2015,Digital Media/Animation,Nina Harkrader,Jean-Louis Cohen,"Building for the Poor and the Pauper: Architecture, Morality and Medical Models in Victorian England, 1850-1900"
2015,Drawings/Prints/Works on Paper,Kate Holohan,Jonathan Brown,"Collecting the New World at the Spanish Habsburg Court, 1519-1700"
2015,Early Christian/Byzantine Art,Rachel Kaplan,Edward Sullivan,Mexican Modernism in National and Transnational Contexts
2015,Early Medieval/Romanesque/Gothic Art,Allyson McDavid,Thelma Thomas,The Legacy of the Great Baths of Aphrodisias in Late Antiquity
2015,Egyptian/Ancient Near Eastern Art,Nicole Myers,Linda Nochlin,Courbet and the Realist Nude
2015,Eighteenth-Century Art,Berit Potter,Thomas Crow and Edward J. Sullivan,"Grace McCann Morley and the Dialectical Exchange of Modern Art in the Americas, 1935 _ 1958"
2015,Film/Video,David Jacob Rabinowitz,Jeffrey Weiss,Public Construction: Christo and Jeanne-Claude's Running Fence
2015,Greek/Roman Art,Jodi Roberts,Edward J. Sullivan,"Horacio Coppola and Grete Stern: Defining the Modern in Argentine Photography, 1930-1956"
2015,Japanese/Korean Art,Patrick Salland,David O¡¯Connor,Palatial Paintings and Programs; The Symbolic World of the Egyptian Palace in the New Kingdom (c. 1550-1069 BCE)
2015,Latin American/Caribbean Art,Delia Solomons,Edward Sullivan,Installing Latin American Art for Cold War Culture: U.S. Exhibitions (1959-1967)
2015,Native American,Anna Swinbourne,Robert Lubar and Priscilla P. Soucek,Marvelous Spectacle: The Role of Ostend's benediction of the Sea in Selected Paintings and Drawings by James Ensor
2015,Nineteenth-Century Art,Rashmi Viswanathan,Finbarr Barry Flood,The Brahmin and the Fakir: Picturing ¡°Type¡± in Early Colonial India
2015,Oceanic/Australian Art,Michael Waters,Marvin Trachtenberg,"Materials, Materiality, and Spolia in Italian Renaissance Architecture"
2015,Outsider/Folk Art,Shannon Wearing,Jonathan Alexander,"Power and Style: The Liber Feudorum Maior and the Court of Alfonso II, King of Aragon and Count of Barcelona (r. 1162-1196)"
2015,Performance Studies,Katharine Wright,Thomas Crow,"Your Art Here: Print Advertisements and Contemporary Art, 1964-1974"
2014,Pre-Columbian Art,Joseph Ackley,Jonathan J. G. Alexander,'Offer him gold; that is true love': Ottonian gold repouss¨¦ and the Western medieval church treasury
2014,Prehistoric Art,Andrea Bell,Thomas Crow,French Artists in Rome: An Examination of Eighteenth-Century Drawing Albums
2014,Renaissance/Baroque Art,Anna Katherine Brodbeck,Edward J. Sullivan,"Parallel Situations: Artur Barrio, Brazilian Art, and International Exchange in the Post-Studio Era (1969_1974)"
2014,South/Southeast Asian Art,Lauren Cannady,Thomas Crow,Owing to Nature and Art: The Garden Landscape and the Eighteenth-Century French Interior
2014,Twentieth-Century Art,Christopher Corradino,Colin T. Eisler,Giovanni Mansueti Painting in Venice
2014,World Art,Nicholas Herman,Jonathan J. G. Alexander,"Jean Bourdichon (1457-1521): Tradition, Transition, Renewal"
2014,African Art (sub-Saharan),Titia Hulst,Thomas Crow,Leo Castelli and the Market for American Contemporary Art
2014,Architectural History/Historic Preservation,Kenji Kajiya,Robert S. Lubar,Color-Field Painting in the Cultural Context of America
2014,Art of the Middle East/North Africa,Zhijian Qian,Jonathan Hay,"Modernism Re-oriented in a Chinese Context: Painting of Modernist Artiti in Wartime Chongqing, 1937-1945"
2014,Art of the United States,Anooradha Siddiqi,Jean-Louis Cohen,"Just Add Water? Architecture and Humanitarianism, 1991-2011"
2014,Chinese Art,Ileana Selejan,Thomas Crow,Postmodern Warfare in Images: The Aesthetics of War Photography in the Late 1970s and 1980s
2014,Contemporary Art,Jennifer Sudul,Robert Storr and Linda Nochlin,The Early works of Niki de Saint Phalle
2014,Critical Theory/Gender Studies/Visual Studies,Julia Valiela,Beverly Brown and Patricia Rubin,Model Women: Female Portrait Busts in Renaissance Italy
2013,Decorative Arts/Textiles/Design History,Mark Abb,Katherine Welch,The Polychromy of Roman Marble Sculpture: Aphrodisias and Corinth
2013,Digital Media/Animation,Denise Birkhofer,Edward J. Sullivan,"On and Off the Streets: Photography and Performance in Mexico City, 1974-1984"
2013,Drawings/Prints/Works on Paper,Cathleen Chaffee, Robert Storr,"Decors: Marcel Broodthaers Late Exhibition Practice, 1974-75"
2013,Early Christian/Byzantine Art,Nathaniel Donahue,Linda Nochlin,"Decorative Modernity and Avant-Garde Classicism in Renoir's Late Work, 1892-1919"
2013,Early Medieval/Romanesque/Gothic Art,Jason Dubs,Edward J. Sullivan,"Making a Scene: The Colectivo Acciones de Arte, the Chilean Neo-Avant-Garde, and the Politics of Visibility, 1975-89"
2013,Egyptian/Ancient Near Eastern Art,Rachel Federman,Thomas Crow,"Framing Los Angeles: Artists¡¯ Environments and Institutional Space, 1962-1994"
2013,Eighteenth-Century Art,Ross Finocchio,Jonathan Brown,"Henry Clay Frick: The Making of an American Collector, 1880-1905"
2013,Film/Video,Maryl Gensheimer,Katherine Welch,"Decoration and Display in the Imperial Thermae: Issues of Intention, Reception, and Visual Experience at the Baths of Caracalla"
2013,Greek/Roman Art,Melanie Hanan,Jonathan J.G. Alexander,"Romanesque Casket Reliquaries: Forms, Meanings, and Development"
2013,Japanese/Korean Art,Genevive Hendricks,Jean-Louis Cohen,"Collision and Collusions: Interactions in Le Corbusier¡¯s Art and Architecture, Purism and Beyond"
2013,Latin American/Caribbean Art,Joe Hill,Robert Storr,Becoming Global: Contemporary Art Worlds in the Age of the Biennials Boom
2013,Native American,Alison Hokanson,Linda Nochlin,The Soul of Solemn: Places; The Interior Scenes of Henri de Braekeleer (1840-1888)
2013,Nineteenth-Century Art,Jai Imbrey,Colin T. Eisler,Fictive Frames in Mantegna¡¯s Devotional Art
2013,Oceanic/Australian Art,Abby Kornfeld,Jonathan J.G. Alexander ,Meanings in the Margins: Between Text and Image in the Barcelona Haggadah
2013,Outsider/Folk Art,Matthew Levy,Robert Storr,"Abstract Painting and the Minimalist Critiques: Robert Mangold, David Novros, Jo Baer. "
2013,Performance Studies,Lihong Lui,Jonathan Hay,"A Known World: The Pictorial Construction of Place in the Art of Shen Zhou, Wen Zhengming, and Lu Zhi"
2013,Pre-Columbian Art,Beth Merfish,Edward J. Sullivan,Stars in Complex Constellations: Mexico City¡¯s Taller de Gr¨¢fica Popular through Inside and Outside Histories
2013,Prehistoric Art,Elizabeth Monti,Jonathan J.G. Alexander,Art for an Antipope at the Court of Clement VII (1378-1394)
2013,Renaissance/Baroque Art,Judith Noorman,Mari_t Westermann,"The Unconventional Career of Jacob van Loo (1614-70), Painter in Amsterdam and Paris"
2013,South/Southeast Asian Art,Rory O¡¯Dea,Robert Storr,Science Fiction and Mystic Fact: Robert Smithson¡¯s Ways of World Making
2013,Twentieth-Century Art,Alexander Rich,Linda Nochlin,Artist or Critic: Guy P¨¨ne du Bois and the Search for Artistic Identity
2013,World Art,Lindsey Schneider,Jonathan Brown,The Late Career of Pietro da Cortona and Roman Baroque Painting after 1650
2013,African Art (sub-Saharan),Deanna Sheward,Thomas Crow,Building for the Bomb: Monumentality and the Manhattan Project
2013,Architectural History/Historic Preservation,Hannah Sigur,Jean Louis Cohen,"Neoclassicism and National Identity: Japan, the United States, and International Expositions 1862-1915"
2013,Art of the Middle East/North Africa,Denise-Marie Teece,Priscilla Soucek,"Vessels of Verse, Ships of Song: Persian Anthologies of the Qara Quyunlu and Aq Quyunlu Perod"
2013,Art of the United States,Rosemarie Trentinella,Katherine Welch,The Roman Villa in Calabria: Case Studies in Visual Culture
2013,Chinese Art,Derek Weiler,Jeffrey Weiss,Serial Aesthetics and the Concept of Technique: Mel Bochner and the 1960s
2013,Contemporary Art,Michelle Anne Wijegoonaratna,Robert S. Lubar,"Tradition, Innovation and the Construction of Identity in Otto Dix¡¯s Portraits and Self-Portraits 1912-1925"
2012,Critical Theory/Gender Studies/Visual Studies,Guendalina Ajello,Marvin L. Trachtenberg,"Afterlives: The Reuse, Adaptation and Transformation of Roma¡¯s Ancient theaters"
2012,Decorative Arts/Textiles/Design History,Liam Considine,Thomas Crow,"New Realisms: Pop Art in France, 1962-1968"
2012,Digital Media/Animation,Isabel Fowkles,Clemente Marconi,"The Cults of Syrian-Phoenician Gods in Rome: Archaeology, Topography, and Connections to the Roman East"
