Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
Museum Director,,Mary Levkoff,,2014,35.685208,-121.168225,Hearst Castle,Director,"MA, 1978"
Curatorial,,"Denise Lynn Birkhofer, PhD",,2014,41.293594,-82.216549,The Allen Memorial Art Museum,Curator of Modern and Contemporary Art,"PhD, 2013"
Conservation,,Serena Urry,,2012,39.114285,-84.497291,Cincinnati Art Museum,"Chief Conservatro, Cincinnati Art Museum.","Certificate in Conservation, 1989"
Education,,Joseph S. Ackley,,2014,40.808059,-73.964008,Columbia University,Mellon Postdoctoral Teaching Fellow in the Department of Art History and Archaeology.,"PhD, 2014"
Education,,Jennifer Babcock,,2014,40.779928,-73.960263,"Institute for the Study of the Ancient World, NYU",Curatorial Postdoctoral Associate.,"PhD, 2014"
Curatorial,,"Esther Bell, PhD",,2014,37.784466,-122.500842,Fine Arts Museums of San Francisco,"Curator in Charge, European Paintings","PhD, 2011"
Curatorial,,"Michael Brown, PhD",,2014,32.731837,-117.149591,San Diego Museum of Art,Associate Curator of European Art,"PhD, 2011"
Education,,"Miriam Basili, oPhD",,2014,40.729768,-73.994921,NYU,Associate Professor of Art History and Museum Studies,"PhD, 2002"
Non-profit Arts Administration,,Kellie Morgan,,2014,40.000684,-83.009392,Wexner Center for the Arts,Community Outreach and Marketing Manager for the Wexner Center for the Arts.,"MA, 2010"
For-profit Arts Professional,,Mark Loiacano,,2014,40.719005,-73.987354,Lisa Cooley Gallery,Director,"MA, 2005"
"Editors, Writers or Publishers",,Julianna White,,2014,41.308333,-72.930451,Yale University Art Gallery,"Editorial Assistant, Publications and Editorial Services at Yale University Art Gallery.","MA, 2013"
Public Relations and Marketing,,Caroline Boillod,,,40.762175,-73.972862,Brevan Howard US LLC,Marketer,"MA, 2002"
"Editors, Writers Or Publishers",,Dr. Ariella G. Budick,,,40.746334,-73.982464,Newsday,Art critic,"PhD, 1996"
Other Occupations,,Rachel G. Wilf,,,40.760007,-73.968501,Gurr Johns,Account Manager,MA
Other Occupations,,Arlene C. Wise,,,40.761697,-73.980126,Chadbourne & Parke, ,"XX, 1981"
Public Relations And Marketing,,Shellie Winkler,,2013,40.728535,-74.007383,MSLGROUP North America,"Chief Strategy Officer, MSLGROUP North America","MA, 1984"
Education,,Sheila Dillon,,2014,41.919769,-91.649501,Duke University,"Chairperson, Department of Art","PhD, 1994"
Education,,Ana M. Franco,,2014,4.601586,-74.065274,Universidad de los Andes,Assistant Professor,"PhD, 2012"
Curatorial,,Aimee E Froom,,2014,29.72568,-95.390482,"Museum of Fine Arts, Houston.",Curator of Islamic art,"PhD, 2001"
Curatorial,,Kathryn Gunsch,,2014,39.325918,-76.61917,Baltimore Museum of Art,Teel Curator of African and Oceanic Art.,"PhD, 2012"
Education,,Maile Hutterer,,2014,44.04483,-123.072606,University of Oregon,Assistant Professor,"PhD, 2011"
Education,,Sarah Madole,,2014,40.76874,-73.95978,Marymount Manhattan College,Adjunct Professor,"PhD, 2012"
Non-profit Arts Administration,,Erika Nelsen,,2014,47.607262,-122.338144,Seattle Art Museum,Grants Manager for the Seattle Art Museum.,"MA, 2012"
Education,,Adele Nelson,,2014,39.983461,-75.153377,Tyler School of Art,Professsor of Art History,"PhD, 2012"
Curatorial,,Lelia Packer,,2014,51.508929,-0.128299,The National Gallery in London,McCrindle Curatorial Assistant,"PhD, 2012"
Curatorial,,"Tricia Paik, Ph.D",,2014,39.825502,-86.185097,Indianapolis Museum of Art,Curator of Contemporary Art,"PhD, 2009"
Non-profit Arts Administration,,Karin Ann Sanders,,2014,40.7465,-74.001374,Paul Ickovic Foundation,Collection Director,"MA, 2013"
Museum Director,,Stephanie Stebich,,,47.247498,-122.437037,Tacoma Art Museum,Director,"MA, 1998"
Museum Director,,Angus Trumble,,2014,-35.299383,149.131527,"National Portrait Gallery, Australia",Director,"MA, 1998"
