Name,Date,La,Lo,Place,Notes
Nam June Paik,1963,51.271556,7.19657,Galerie Parnass,"""Exposition of Music-Electronic Television"" March 11-20"
Nam June Paik,1965,40.7142,-74.0064,New School for Social Research,"""Nam June Paik: Cybernetics Art and Music"" Jan. 8"
Nam June Paik,1967,40.73764,-73.815781,Art Center of the Paul Klapper Library,"""Expanding Perceptions in the Arts"" March 20-22"
Nam June Paik,1968,40.6646,-73.074198,SUNY Stony Brook Art Gallery,"""Nam June Paik Exhibit, March 1-15"""
Nam June Paik,1974,43.044289,-76.147079,Everson Museum of Art,"""Nam June Paik: Videa 'n' Videology 1959-1973"""
Nam June Paik,1975,40.76947,-73.966566,Martha Jackson Gallery,"""Fish on the Sky-Fish hardly flies anymore on the Sky-let Fishes fly again"""
Nam June Paik,1975,52.516074,13.376987,"Rene Block Gallery, New York",Feb. 1-Mar. 4
Nam June Paik,1977,40.761418,-73.977757,The Museum of Modern Art,
Nam June Paik,1978,35.668465,139.709015,Galerie Watari,"""A Tribute to John Cage"""
Nam June Paik,1978,52.516074,13.376987,Rene Block Gallery,"""Fluxus Traffic"""
Nam June Paik,1979,46.831772,1.83267,Musee d'Art Moderne de laVille de Paris,"""Nam June Paik Retrospective"" Nov. 22,1978 - Jan. 8"
Nam June Paik,1980,40.773343,-73.963598,Whitney Museum of American Art,"""The New American Filmmakers Series"""
Nam June Paik,1980,35.668465,139.709015,Galerie Watari,"""VIDEA Iro Iro: PAPER TV and Tropical Fish"""
Nam June Paik,1981,35.668465,139.709015,Galerie Watari,"""By with of on Beuys, Cage, Cunningham, Paik"" Aug. 11-26"
Nam June Paik,1982,40.773343,-73.963598,Whitney Museum of American Art,April 30-June 27
Nam June Paik,1982,41.897141,-87.621353,Chicago Museum of Contemporary Art,Sept. 11-Oct. 24
Nam June Paik,1982,48.861301,2.35235,Centre Georges Pompidou,"Dec. 15, 1982-April 10"
Nam June Paik,1983,39.106441,-84.504692,Carl Solway Gallery,"""Video Flag"" Sept. 6-Dec. 31"
Nam June Paik,1984,35.7173,139.773254,Tokyo Metropolitan Art Museum,"""Nam June Paik-Mostly Video"" June 14-July 29"
Nam June Paik,1984,42.352203,-71.044393,Boston Institute of Contemporary Art,"""Nam June Paik: BSO and Beyond"" Sept. 6-Nov. 4"
Nam June Paik,1984,52.511799,13.4087,DaadgaIerie,"""Art for 25 Million People: Good Morning, Mr. Orwell, Kunst and Satelliten in derZukunft"" Nov. 28-Dec. 9"
Nam June Paik,1983,39.106441,-84.504692,Carl Solway Gallery,"""Family of Robot"" March 5-April 30"
Nam June Paik,1986,40.744476,-73.996784,Holly Solomon Gallery,"""Family of Robot"" Sept. 25-Oct. 25"
Nam June Paik,1986,35.668465,139.709015,Galerie Watari,"""Bye-Bye Kipling Drawings"" Oct. 9-25"
Nam June Paik,1988,34.011565,-118.492289,Dorothy Goldeen Gallery,"""Nam June Paik: Beuys and Bogie"" Feb. 18-March 26"
Nam June Paik,1988,51.506325,-0.127144,Hayward Gallery,"""Nam June Paik: Video Works 1963-88"" Sept. 29-Dec. 11"
Nam June Paik,1988,51.506325,-0.127144,Nigel Greenwood Gallery,"""Nam June Paik: Video Works 1963-88"" Sept. 29-Dec. 11"
Nam June Paik,1989,43.25539,-2.934325,Museo de Bellas Artes de Bilbao,
Nam June Paik,1989,46.831772,1.83267,Musee d'Art Moderne de la Ville de Paris,
Nam June Paik,1989,37.78606,-122.40036,San Francisco Museum of Modern Art,"""Nam June Paik"" July 13-Sept. 3"
Nam June Paik,1990,46.208358,6.142701,Galerie Marika Malacorda,"""Nam June Paik: TV"" Feb. 8-March 31"
Nam June Paik,1990,51.21563,6.77604,Galerie Hans Mayer,"""Nam June Paik: Sterne"" Sept. 20-Oct. 20"
Nam June Paik,1990,32.771605,-89.117744,One FranklinTown Apartments,"""VideoArbor"" _ permanent outdoor installation"
Nam June Paik,1990,25.79504,-80.271843,Miami International Airport,"""Miami and Wing"" _ permanent indoor sculptures"
Nam June Paik,1990,50.11208,8.683415,Galerie Lupke,"""Grafiken and Multiples"" Dec. 1, 1990-Jan. 12, 1991"
Nam June Paik,1991,50.941665,6.95518,Galerie Berndt and Krips,Jan. 18-Feb. 28
