Name,Date,La,Lo,Place,Notes
Nam June Paik,1963,51.271556,7.19657,Galerie Parnass,"Exposition of Music-Electronic Television, March 11-20."
Nam June Paik,1965,40.73535,-73.996199,New School for Social Research,"Nam June Paik: Cybernetics Art and Music, Jan. 8"
Nam June Paik,1967,40.740028,-73.832527,Art Center of the Paul Klapper Library,"Expanding Perceptions in the Arts, March 20-22."
Nam June Paik,1968,40.919159,-73.129578,SUNY Stony Brook Art Gallery,"Nam June Paik Exhibit, March 1-15"
Nam June Paik,1974,43.044289,-76.147079,Everson Museum of Art,Nam June Paik: Videa 'n' Videology 1959-1973
Nam June Paik,1975,42.957405,-78.830898,Martha Jackson Gallery,Fish on the Sky-Fish hardly flies anymore on the Sky-let Fishes fly again
Nam June Paik,1975,40.709374,-73.994981,"Rend Block Gallery, New York",Feb. 1-Mar. 4.
Nam June Paik,1977,40.76112,-73.976723,The Museum of Modern Art,
Nam June Paik,1978,35.668465,139.709015,Galerie Watari, A Tribute to John Cage
Nam June Paik,1978,52.516074,13.376987,"Rend Block Gallery, Berlin", Fluxus Traffic
Nam June Paik,1979,46.831772,1.83267, Musee d'Art Moderne de laVille de Paris," Nam June Paik Retrospective, Nov. 22,1978Jan. 8"
Nam June Paik,1980,40.773151,-73.963799,Whitney Museum of American Art,The New American Filmmakers Series
Nam June Paik,1980,35.668465,139.709015,Galerie Watari,VIDEA Iro Iro: PAPER TV and Tropical Fish
Nam June Paik,1981,35.668465,139.709015,Galerie Watari,"By with of on Beuys, Cage, Cunningham, Paik, Aug. 11-26"
Nam June Paik,1982,40.773151,-73.963799,Whitney Museum of American Art,April 30-June 27.
Nam June Paik,1982,41.897141,-87.621353,Chicago Museum of Contemporary Art, Sept. 11-Oct. 24.
Nam June Paik,1982,48.861301,2.35235,Centre Georges Pompidou,"Dec. 15, 1982-April 10"
Nam June Paik,1983,39.106441,-84.504692,Carl Solway Gallery,"Video Flag, Sept. 6-Dec. 31"
Nam June Paik,1984,35.7173,139.773254,okyo Metropolitan Art Museum,"Nam June Paik-Mostly Video, June 14-July 29."
Nam June Paik,1984,42.352203,-71.044393,Boston Institute of Contemporary Art," Nam June Paik: BSO and Beyond, Sept. 6-Nov. 4"
Nam June Paik,1984,52.511799,13.4087,DaadgaIerie,"Art for 25 Million People: Good Morning, Mr. Orwell, Kunst and Satelliten in derZukunft, Nov. 28-Dec. 9"
Nam June Paik,1983,39.106441,-84.504692,Carl Solway Gallery,"Family of Robot, March 5-April 30"
Nam June Paik,1986,40.725536,-73.997784,Holly Solomon Gallery,"Family of Robot, Sept. 25-Oct. 25"
Nam June Paik,1986,35.668465,139.709015,Galerie Watari,"Bye-Bye Kipling Drawings, Oct. 9-25"
Nam June Paik,1988,34.011565,-118.492289,Dorothy Goldeen Gallery,"Nam June Paik: Beuys and Bogie, Feb. 18-March 26"
Nam June Paik,1988,51.506325,-0.127144,Hayward Gallery,"Nam June Paik: Video Works 1963-88, Sept. 29-Dec. 11"
Nam June Paik,1988,51.506325,-0.127144,Nigel Greenwood Gallery,"Nam June Paik: Video Works 1963-88, Sept. 29-Dec. 11"
