Author,Title,Degree,Year,Advisor,Advisor2,Category
"SUDUL, Jennifer",The Early works of Niki de Saint Phalle,Ph.D.,2014,"Storr, Robert","Nochlin, Linda",African Art (sub-Saharan)
"HERMAN, Nicholas","Jean Bourdichon (1457-1521): Tradition, Transition, Renewal",Ph.D.,2014,"Alexander, Jonathan J.G.",,African Art (sub-Saharan)
"CORRADINO, Christopher",Giovanni Mansueti Painting in Venice,Ph.D.,2014,"Eisler, Colin T.",,Art of the Middle East/North Africa
"KAJIYA, Kenji",Color-Field Painting in the Cultural Context of America,Ph.D.,2014,"Lubar, Robert S.",,Art of the United States
"CANNADY, Lauren",Owing to Nature and Art: The Garden Landscape and the Eighteenth-Century French Interior,Ph.D.,2014,"Crow, Thomas",,Chinese Art
"SWARTOUT, Schuyler",Fifth-century Sarcophagi from Aquitania and the Question of Visigothis Patronage,M.A.,2013,"Kopcke, Günter H.",,Contemporary Art
"SHIN, Myungjin","Frederick Law Olmstead's System of Parks and Parkways in the Emerald Necklace, Boston",M.A.,2013,"Cohen, Jean-Louis",,Critical Theory/Gender Studies/Visual Studies
"NESS, Shannon",The Juno in the Kitchen: Representations of Women in the Domestic Shrines of Pompeii,M.A.,2013,"Welch, Katherine",,Decorative Arts/Textiles/Design History
"JACKSON, Briana",Universalizing Tendencies and the Exchange of Art and Luxury Goods in the Reigns of Amenhotep III and Akhenaten,M.A.,2013,"O'Connor, David",,Art of the Middle East/North Africa
"HENSELLEK, Betty",A Reconsideration of the So-Called Sasanian Senmurv Kaftan,M.A.,2013,"Thomas, Thelma",,Art of the United States
"GONZALEZ, Sarah",The Demonic Mirror of Siyah Qalam: Societal Self-Perception through Depictions of Demons,M.A.,2013,"Soucek, Priscilla",,Chinese Art
"SHEWARD, Deanna",Building for the Bomb: Monumentality and the Manhattan Project,Ph.D.,2013,"Cohen, Jean-Louis",,Contemporary Art
"SCHNEIDER, Lindsey",The Late Career of Pietro da Cortona and Roman Baroque Painting after 1650,Ph.D.,2013,"Brown, Jonathan",,Critical Theory/Gender Studies/Visual Studies
"O’DEA, Rory",Science Fiction and Mystic Fact: Robert Smithson’s Ways of World Making,Ph.D.,2013,"Storr, Robert",,Decorative Arts/Textiles/Design History
"LUI, Lihong","A Known World: The Pictorial Construction of Place in the Art of Shen Zhou, Wen Zhengming, and Lu Zhi",Ph.D.,2013,"Hay, Jonathan",,Art of the Middle East/North Africa
"LEVY, Matthew","Abstract Painting and the Minimalist Critiques: Robert Mangold, David Novros, Jo Baer",Ph.D.,2013,"Storr, Robert",,Art of the United States
"HILL, Joe",Becoming Global: Contemporary Art Worlds in the Age of the Biennials Boom,Ph.D.,2013,"Storr, Robert",,Chinese Art
"DONAHUE, Nathaniel","Decorative Modernity and Avant-Garde Classicism in Renoir's Late Work, 1892-1919",Ph.D.,2013,"Nochlin, Linda",,Contemporary Art
"TRENTINELLA, Rosemarie",The Roman Villa in Calabria: Case Studies in Visual Culture,Ph.D.,2013,"Welch, Katherine",,Critical Theory/Gender Studies/Visual Studies
"RICH, Alexander",Artist or Critic: Guy Pène du Bois and the Search for Artistic Identity,Ph.D.,2013,"Nochlin, Linda",,Decorative Arts/Textiles/Design History
"NOORMAN, Judith","The Unconventional Career of Jacob van Loo (1614-70), Painter in Amsterdam and Paris",Ph.D.,2013,"Westermann, Mariët",,Oceanic/Australian Art
"MONTI, Elizabeth",Art for an Antipope at the Court of Clement VII (1378-1394),Ph.D.,2013,"Alexander, Jonathan J.G.",,Outsider/Folk Art
"MERFISH, Beth",Stars in Complex Constellations: Mexico City’s Taller de Gráfica Popular through Inside and Outside Histories,Ph.D.,2013,"Sullivan, Edward J.",,Performance Studies
"KORNFELD, Abby",Meanings in the Margins: Between Text and Image in the Barcelona Haggadah,Ph.D.,2013,"Alexander, Jonathan J.G.",,Pre-Columbian Art
"IMBREY, Jai",Fictive Frames in Mantegna’s Devotional Art,Ph.D.,2013,"Eisler, Colin T.",,Prehistoric Art
"HOKANSON, Alison",The Soul of Solemn:Places: The Interior Scenes of Henri De Braekeleer (1840-1888),Ph.D.,2013,"Nochlin, Linda",,Renaissance/Baroque Art
"HENDRICKS, Genevieve","Collision and Collusions: Interactions in Le Corbusier’s Art and Architecture, Purism and Beyond",Ph.D.,2013,"Cohen, Jean-Louis",,South/Southeast Asian Art
