Author,Title,Degree,Year,Advisor,Advisor2,Category,Category2,,IFA categories (just for reference)
"PIOTROWSKA, Anna Karolina",The early career of Carle Vanloo: Training and practice in the capitals of Europe,Ph.D.,2009,"Westermann, Mariët","Bailey, Colin",Seventeenth- and Eighteenth-Century Art,,,
"WILDE, Deborah N.",Housing and urban development in sixteenth century Rome : the properties of the Arciconfraternita della SSma Annunziata,Ph.D.,1989,"Krautheimer, Richard","Brandt, Kathleen Weil-Garris",Seventeenth- and Eighteenth-Century Art,,,
"WOLF, Reva",Francisco Goya and the Interest in British Art and Aesthetics in Late Eighteenth-century Spain,Ph.D.,1987,"Rosenblum, Robert","Jonathan, Brown",Seventeenth- and Eighteenth-Century Art,,,
"COWEN, Jill S.",The Istanbul University Library Kalila wa Dimna: an Il-Khanid Masterpiece,Ph.D.,1980,"Grabar, Oleg","Chelkowski, Peter",Art of the Middle East and South Asia,,,
"MYERS, Bernard",St. George and the Dragon,Ph.D.,1933,"McMahon, A. Philip","Cook, Walter W.S.","Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"POTTER, Berit Nicole","Grace McCann Morley and the Dialectical Exchange of Modern Art in the Americas, 1935 – 1958",Ph.D.,2015,"Crow, Thomas","Sullivan, Edward J.",,,,
"UDOVITCH, Joan Diamond",The Papeleu Master: a Parisian Manuscript Illuminator of the Early Fourteenth Century,Ph.D.,1979,"Deuchler, Florens","Eisler, Colin T.","Early Christian, Byzantine, and Western Medieval Art",,,
"BIANCHI, Robert Steven",The Striding Draped Male Figure of Ptolemaic Egypt,Ph.D.,1976,"von Bothmer, Bernard","Fischer, Henry G.","Ancient Aegean, Egyptian, Greek and Roman Art",,,
"LIPSEY, Roger",Signature and Significance: A Study of the Life and Writings of Ananda K. Coomaraswamy,Ph.D.,1974,"Kramrisch, Stella","Goldwater, Robert",Nineteenth- and Twentieth-Century Art,Art of the Middle East and South Asia,,
"SCHWAB, Katherine A.",The Parthenon Metopes and Greek Vase Painting: A Study of Comparison and Influences,Ph.D.,1988,"von Bothmer, Dietrich","Harrison, Evelyn B.","Ancient Aegean, Egyptian, Greek and Roman Art",,,
"PAPANICOLAOU, Linda Morey",Stained Glass Windows of the Choir of the Cathedral of Tours,Ph.D.,1979,"Bober, Harry","Hayward, Jane","Early Christian, Byzantine, and Western Medieval Art",,,
"LACAZE, Charlotte","The Vie de St. Denis Manuscript: (Paris, Bibliothèque Nationale, Ms. fr. 2090-2092)",Ph.D.,1978,"Deuchler, Florens","Janson, H.W.","Early Christian, Byzantine, and Western Medieval Art",,,
"SENIE, Harriet","Studies in the Development of Urban Sculpture, 1950-1975",Ph.D.,1981,"Hitchcock, Henry Russell","Janson, H.W.",Architecture,Nineteenth- and Twentieth-Century Art,,
"COHEN, Beth",Attic Bilingual Vases and their Painters,Ph.D.,1977,"von Bothmer, Dietrich","Kopcke, Günter H.","Ancient Aegean, Egyptian, Greek and Roman Art",,,
"PINCUS, Debra","The Arco Foscari, the Building of a Triumphal Gateway in Fifteenth-century Venice",Ph.D.,1974,"Janson, H.W.","Krautheimer, Richard",Renaissance Art,,,
"WADDY, Patricia",Palazzo Barbarini: Early Proposals,Ph.D.,1973,"Lavin, Irving","Krautheimer, Richard",Seventeenth- and Eighteenth-Century Art,,,
"FREIBERG, Jack",The Lateran and Clement VIII,Ph.D.,1988,"Trachtenberg, Marvin L.","Lavin, Irving",Architecture,Renaissance Art,,
"SMITH, Katherine","Sign Language: Pop Art, Vernacular Architecture, and the American Landscape",Ph.D.,2003,"Cohen, Jean-Louis","Lubar, Robert S.",Architecture,Nineteenth- and Twentieth-Century Art,,
"BRACKEN, William Worth",Rembrandt as Creative Inventor,Ph.D.,2015,"Eric, Jan Sluiter","Westermann, Mariët",,,,
"BRENNAN, Robert Scott",Painting as a Modern Art: The Era of Giotto,Ph.D.,2016,"Alexander, Nagel",Marvin Trachtenberg,,,,
